Username,Type,Name - First and Last,Email,Avatar URL
rcampbell,super_admin,Rob Campbell,rcampbell@@rcsd.sc.us.edu,
saddy,super_admin,Steve Addy,saddy@rcsd.sc.us.edu,
awallace,admin,April Wallace,awallace@rcsd.sc.us.edu,
ksmith,admin,Kimrey Smith,ksmith@rcsd.sc.us.edu,
scroft,admin,Sandy Croft,scroft@rcsd.sc.us.edu,
kcraft,faculty,Karen Craft,kcraft@rcsd.sc.us.edu,
along,faculty,Alice Long,along@rcsd.sc.us.edu,
bsmith,faculty,Bethany Smith,bsmith@rcsd.sc.us.edu,
cdavis,faculty,Cherry Davis,cdavis@rcsd.sc.us.edu,
dterry,faculty,Dale Terry,dterry@rcsd.sc.us.edu,
ejohnson,faculty,Eveline Johnson,ejohnson@rcsd.sc.us.edu,
fwilliams,faculty,Frank Williams,fwilliams@rcsd.sc.us.edu,
gjones,faculty,Grace Jones,gjones@rcsd.sc.us.edu,
ttaylor,faculty,Tonya Taylor,ttaylor@rcsd.sc.us.edu,
cray,faculty,Caleb Ray,cray@rcsd.sc.us.edu,
acox,student,Abel Cox,acox@rcsd.sc.us.edu,
arobertson,student,Amaya Robertson,arobertson@rcsd.sc.us.edu,
asmith,student,Ayla Smith,asmith@rcsd.sc.us.edu,
cclarke,student,Carter Clarke,cclarke@rcsd.sc.us.edu,
dbailey,student,Damien Bailey,dbailey@rcsd.sc.us.edu,
egeorge,student,Emerson George,egeorge@rcsd.sc.us.edu,
gnelson,student,Grayson Nelson,gnelson@rcsd.sc.us.edu,
jmason,student,Jake Mason,jmason@rcsd.sc.us.edu,
jpowell,student,Jose Powell,jpowell@rcsd.sc.us.edu,
kwebster,student,Kate Webster,kwebster@rcsd.sc.us.edu,
amason,student,Abraham Mason,amason@rcsd.sc.us.edu,
asmith2,student,Amelia Smith,asmith2@rcsd.sc.us.edu,
bmoore,student,Baily Moore,bmoore@rcsd.sc.us.edu,
chill,student,Cash Hill,chill@rcsd.sc.us.edu,
dclark,student,Dante Clark,dclark@rcsd.sc.us.edu,
emorgan,student,Emilia Morgan,emorgan@rcsd.sc.us.edu,
grodgers,student,Greyson Rodgers,grodgers@rcsd.sc.us.edu,
jjackson,student,Jameson Jackson,jjackson@rcsd.sc.us.edu,
jhill,student,Josh Hill,jhill@rcsd.sc.us.edu,
kgreen,student,Kate Green,kgreen@rcsd.sc.us.edu,
awright,student,Ace Wright,awright@rcsd.sc.us.edu,
asmith3,student,Amir Smith,asmith3@rcsd.sc.us.edu,
barmstrong,student,Baylee Armstrong,barmstrong@rcsd.sc.us.edu,
cspencer,student,Catlina Spencer,cspencer@rcsd.sc.us.edu,
dcity,student,Dawson City,dcity@rcsd.sc.us.edu,
eblack,student,Emily Black,eblack@rcsd.sc.us.edu,
ggardner,student,Gunnar Gardner,ggardner@rcsd.sc.us.edu,
jdunn,student,Jane Dunn,jdunn@rcsd.sc.us.edu,
jreid,student,Juan Reid,jreid@rcsd.sc.us.edu,
kred,student,Kaylee Red,kred@rcsd.sc.us.edu,
awells,student,Adaline Wells,awells@rcsd.sc.us.edu,
agreen,student,Amy Green,agreen@rcsd.sc.us.edu,
ballen,student,Beckett Allen,ballen@rcsd.sc.us.edu,
clewis,student,Cecilia Lewis,clewis@rcsd.sc.us.edu,
dsmith,student,Derek Smith,dsmith@rcsd.sc.us.edu,
ejackson,student,Enzo Jackson,ejackson@rcsd.sc.us.edu,
hross,student,Hannah Ross,hross@rcsd.sc.us.edu,
jstone,student,Jase Stone,jstone@rcsd.sc.us.edu,
jjenkins,student,Juliet Jenkins,jjenkins@rcsd.sc.us.edu,
kgordon,student,Keira Gordon,kgordon@rcsd.sc.us.edu,
